Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
BURBERRY GROUP;GB0031743007;BRBY LN EQUITY;GBp;878,98;BRITAIN;Consommation discrétionnaire;Biens de consommation durables;Bruno;AAA;54,2;Green;HOLD;RATING SUSPENDED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
BUREAU VERITAS S;FR0006174348;BVI FP EQUITY;EUR;12,88;FRANCE;Industrie;Services commerciaux et profes;Yann;AA;72,17;Green;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
BUZZI UNICEM SPA;IT0001347308;BZU IM EQUITY;EUR;4,19;ITALY;Matériaux;Matériaux;Jeremy;BBB;NR;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
CAIXABANK SA;ES0140609019;CABK SM EQUITY;EUR;21,26;SPAIN;Finance;Banques;Chantal;AA;69,12;Yellow;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
CAPGEMINI SE;FR0000125338;CAP FP EQUITY;EUR;32,18;FRANCE;Technologies de l'information;Logiciels et services;Moad;AA;64,14;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
CARLSBERG-B;DK0010181759;CARLB DC EQUITY;DKK;168,08;DENMARK;Consommation de base;Produits alimentaires, boisson;Sophie;AAA;61,62;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
CARMILA;FR0010828137;CARM FP EQUITY;EUR;1,71;FRANCE;Immobilier;Immobilier;Jeremy;BB;32,27;Green;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
CARREFOUR SA;FR0000120172;CA FP EQUITY;EUR;13,37;FRANCE;Consommation de base;Vente au détail de produits a;Sophie;AA;70,88;Yellow;BUY;OVERWEIGHT;BUY;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
CASINO GUICHARD;FR0000125585;CO FP EQUITY;EUR;2,64;FRANCE;Consommation de base;Vente au détail de produits a;Sophie;AA;63,82;Yellow;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;NON;OUI;NON;NON
CELLNEX TELECOM;ES0105066007;CLNX SM EQUITY;EUR;38,33;SPAIN;Services de communication;Services de télécommunicatio;Cédric;BBB;50,48;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
CENTRICA PLC;GB00B033F229;CNA LN EQUITY;GBp;289,50;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;AA;NR;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
CFE;BE0003883031;CFEB BB EQUITY;EUR;2,24;BELGIUM;Industrie;Biens d'investissement;Yann;AA;NR;Green;HOLD;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
CGG SA;FR0013181864;CGG FP EQUITY;EUR;0,46;FRANCE;Energie;Energie;Louis;AA;NR;Green;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
CGI INC;CA12532H1047;GIB/A CN EQUITY;CAD;28,22;CANADA;Technologies de l'information;Logiciels et services;Moad;A;42,07;Green;HOLD;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
CHARGEURS SA;FR0000130692;CRI FP EQUITY;EUR;0,53;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;BB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;OUI
LINDT&SPRUENGLI;CH0010570759;LISN SW EQUITY;CHF;25,11;SWITZERLAND;Consommation de base;Produits alimentaires, boisson;Sophie;A;NR;Orange;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
CIE AUTOMOTIVE;ES0105630315;CIE SM EQUITY;EUR;3,09;SPAIN;Consommation discrétionnaire;Automobiles et composants auto;Yann;A;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
